Pickup Date,count
2021-12-13,1
2021-12-23,2
2021-12-26,2
2021-12-27,1
2021-12-28,6
2021-12-29,6
2021-12-30,2
2021-12-31,11
2022-01-01,35
2022-01-02,22
2022-01-03,34
2022-01-04,62
2022-01-05,62
2022-01-06,95
2022-01-07,57
2022-01-08,102
2022-01-09,80
2022-01-10,74
2022-01-11,66
2022-01-12,55
2022-01-13,60
2022-01-14,87
2022-01-15,120
2022-01-16,115
2022-01-17,92
2022-01-18,65
2022-01-19,78
2022-01-20,46
2022-01-21,63
2022-01-22,57
2022-01-23,42
2022-01-24,61
2022-01-25,67
2022-01-26,39
2022-01-27,33
2022-01-28,68
2022-01-29,83
2022-01-30,61
2022-01-31,52
2022-02-01,30
2022-02-02,47
2022-02-03,69
2022-02-04,72
2022-02-05,83
2022-02-06,90
2022-02-07,50
2022-02-08,66
2022-02-09,54
2022-02-10,68
2022-02-11,86
2022-02-12,106
2022-02-13,82
2022-02-14,110
2022-02-15,103
2022-02-16,74
2022-02-17,92
2022-02-18,99
2022-02-19,122
2022-02-20,163
2022-02-21,134
2022-02-22,95
2022-02-23,54
2022-02-24,81
2022-02-25,92
2022-02-26,133
2022-02-27,109
2022-02-28,90
2022-03-01,100
2022-03-02,91
2022-03-03,93
2022-03-04,147
2022-03-05,136
2022-03-06,131
2022-03-07,108
2022-03-08,117
2022-03-09,85
2022-03-10,69
2022-03-11,87
2022-03-12,92
2022-03-13,121
2022-03-14,85
2022-03-15,127
2022-03-16,92
2022-03-17,98
2022-03-18,96
2022-03-19,117
2022-03-20,94
2022-03-21,61
2022-03-22,77
